S.No,Issue Description,Location,Priority,Status,WCAG Guideline,Assigned To,Created Date,Recommendation
76,"Keyboard focus is not moved to the dialog and the dialog is not announced when opened: When the ""Add to Cart"" button is activated, a modal dialog is displayed visually; however, keyboard focus remains on the underlying page instead of moving into the dialog. Additionally, the appearance of the dialog is not announced by screen readers, preventing users from being informed that new content requiring interaction has opened. As a result, keyboard and screen reader users may continue interacting with the background content without realizing that a modal dialog is active.",Captain Pro Golf Rangefinder,None,Not Started,"2.4.3 Focus Order (Level A)
2.4.7 Focus Visible (Level AA)
4.1.2 Name, Role, Value (Level A)",Unassigned,01/01/1970,"When the dialog opens:

Programmatically move keyboard focus to the dialog, preferably to the dialog heading or the first interactive element.
Ensure the dialog has an accessible name using aria-labelledby or aria-label.
Trap keyboard focus within the dialog until it is dismissed.
Return keyboard focus to the ""Add to Cart"" button (or the element that opened the dialog) when the dialog is closed.
Ensure assistive technologies announce the dialog upon opening by correctly implementing the modal dialog pattern (role=""dialog"" with aria-modal=""true"" and proper focus management)."
77,"Insufficient color contrast for non-text content: The contrast ratio between the foreground color of the 'X' close icon with its background color is less than 3:1.

 Foreground colour: #B2B2B2
 Background colour: #FFFFFF
 Contrast ratio: 2.1:1",Captain Pro Golf Rangefinder,None,Not Started,1.4.11 Non-text Contrast (Level AA 2.1 ),Unassigned,01/01/1970,"Ensure that the contrast ratio between the element and its background is of at least 3.0:1. 

Resources:
Non-text contrast:
https://www.w3.org/WAI/WCAG21/Understanding/non-text-contrast.html

Contrast (Minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)

Color contrast analyser:
https://www.tpgi.com/color-contrast-checker/"
78,"Insufficient color contrast for non-text content: The contrast ratio between the foreground color of the timeline navigation indicator with its background color is less than 3:1.

 Foreground colour: #D9D9D9
 Background colour: #FFFCFC
 Contrast ratio: 1.4:1",About Blue Tees Golf,None,Not Started,1.4.11 Non-text Contrast (Level AA 2.1 ),Unassigned,01/01/1970,"Ensure that the contrast ratio between the element and its background is of at least 3.0:1. 

Resources:
Non-text contrast:
https://www.w3.org/WAI/WCAG21/Understanding/non-text-contrast.html

Contrast (Minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)

Color contrast analyser:
https://www.tpgi.com/color-contrast-checker/"
79,"Insufficient color contrast for text: The contrast ratio between the foreground color of the gray text with its background color is below the required 4.5:1 ratio.

 Foreground colour: #C5C5C5
 Background colour: #FFFCFC
 Contrast ratio: 1.7:1",About Blue Tees Golf,None,Not Started,1.4.3 Contrast (Minimum) (Level AA),Unassigned,01/01/1970,"Make sure that the contrast ratio between the element and its background is of at least 4.5:1.

For color compliant options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Resources:
Understanding contrast (minimum):
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html

Ensuring that a contrast ratio of at least 4.5:1 exists between text (and images of text):
https://www.w3.org/TR/WCAG20-TECHS/G18.html

Contrast (minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)"
80,"Decorative images use identical non-descriptive alternative text: Multiple decorative or illustrative images on the page use the identical alternative text ""Pros Card Image"", which does not describe the image's content, purpose, or distinguish it from other images. If these images are purely decorative, exposing them to assistive technologies creates unnecessary verbosity and increases the amount of irrelevant information announced by screen readers. If the images convey meaningful information, the repeated generic alternative text fails to communicate their unique content or purpose.",About Blue Tees Golf,None,Not Started,1.1.1 Non-text Content (Level A),Unassigned,01/01/1970,"Review the purpose of each image and provide appropriate alternative text:

If an image is decorative and conveys no information, use an empty alt="""" (or implement it as a CSS background image) so it is ignored by assistive technologies.
If an image is informative, provide concise, unique, and descriptive alternative text that conveys the image's content or purpose within the page context.
Avoid using generic or repeated alternative text such as ""Image,"" ""Photo,"" or ""Pros Card Image"" for multiple images unless they truly represent the same content."
81,"Insufficient color contrast for text: The contrast ratio between the foreground color of the 'OUR MISSION' link text and its background color is below the required 4.5:1 ratio.

 Foreground colour: #80B2FF
 Background colour: #1159F4
 Contrast ratio: 2.6:1",About Blue Tees Golf,None,Not Started,1.4.3 Contrast (Minimum) (Level AA),Unassigned,01/01/1970,"Make sure that the contrast ratio between the element and its background is of at least 4.5:1.

For color compliant options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Resources:
Understanding contrast (minimum):
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html

Ensuring that a contrast ratio of at least 4.5:1 exists between text (and images of text):
https://www.w3.org/TR/WCAG20-TECHS/G18.html

Contrast (minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)"
82,Missing heading mark-up: The 'THE Rules we play by...' text constitute as heading but not marke as such.,About Blue Tees Golf,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Use a heading tag <h2> for the mentioned text.

Example code:
<h2 class=""font-large custom_heading"">
          THE Rules <br>
          we play by...
        </h2>

Resources:
Organizing a page using headings:
https://www.w3.org/WAI/WCAG21/Techniques/general/G141"
83,"Carousel navigation does not communicate slide position: The Previous and Next controls do not communicate the currently displayed slide or the total number of slides to assistive technology users. Consequently, screen reader users cannot determine their current position within the carousel or understand how many slides are available.",About Blue Tees Golf,None,Not Started,4.1.3 Status Messages (Level AA),Unassigned,01/01/1970,"Update the accessible name or associated status message after each navigation to announce the current slide position (e.g., ""Slide 2 of 5""). Ensure this information is available programmatically and announced when the displayed slide changes."
84,"Active timeline item is indicated visually only: The currently active timeline item is identified only through visual styling (such as color, highlighting, or font changes) and is not programmatically conveyed to assistive technologies. As a result, screen reader users cannot determine which timeline item is currently active or selected.",About Blue Tees Golf,None,Not Started,"1.3.1 Info and Relationships (Level A)
4.1.2 Name, Role, Value (Level A)",Unassigned,01/01/1970,"Programmatically expose the active state using the appropriate ARIA attribute based on the widget pattern, such as aria-current=""step"" or aria-selected=""true"". Ensure only the active timeline item exposes the current or selected state so assistive technology users receive the same information available visually."
85,"Carousel lacks semantic structure: The carousel is not exposed as a recognizable carousel component to assistive technologies. It lacks appropriate semantic structure, including a programmatic region, descriptive accessible name, and carousel role description. As a result, screen reader users may not recognize the component as a carousel or understand its purpose and boundaries.",About Blue Tees Golf,None,Not Started,"1.3.1 Info and Relationships (Level A)
4.1.2 Name, Role, Value (Level A)",Unassigned,01/01/1970,"Implement the carousel using appropriate semantics. Wrap the carousel in a landmark or region (<section> with aria-label or role=""region""), provide a meaningful accessible name, and include aria-roledescription=""carousel"" where appropriate. Ensure the carousel structure follows the WAI-ARIA Authoring Practices for carousel widgets."
86,"Carousel slide changes are not announced to screen readers: When the carousel automatically advances or users navigate between slides using the carousel controls, the updated slide content is not announced by screen readers. As a result, screen reader users may not be aware that new content has been displayed, causing them to miss important information presented within the carousel.",About Blue Tees Golf,None,Not Started,4.1.3 Status Messages (Level AA),Unassigned,01/01/1970,"Implement an appropriate ARIA live region (e.g., aria-live=""polite"" or role=""status"") to announce slide changes without shifting keyboard focus. Ensure only the newly displayed slide is announced and avoid repetitive or excessive announcements. If the carousel auto-rotates, provide controls to pause, stop, and resume the rotation."
87,"Timeline navigation items are not keyboard accessible and lack semantic roles: The timeline navigation is implemented using interactive <div> elements instead of native interactive elements such as <button>. These elements are not keyboard focusable, do not expose their interactive role to assistive technologies, and cannot be operated using standard keyboard commands.

As a result, keyboard-only users cannot navigate between timeline milestones, and screen reader users are not informed that these elements are interactive controls for changing the displayed slide.",About Blue Tees Golf,None,Not Started,"2.1.1 Keyboard (Level A)
4.1.2 Name, Role, Value (Level A)",Unassigned,01/01/1970,"Implement each timeline item as a native <button> (preferred) or an <a> element if it performs navigation.

Ensure that:
Each timeline item is keyboard focusable.
Users can activate a timeline item using Enter and Space.
The currently selected timeline item is programmatically identified using aria-current, aria-selected, or aria-pressed as appropriate.
If the timeline controls a carousel, expose the appropriate relationship using ARIA where needed and ensure the active slide is updated for assistive technologies.
Avoid using non-semantic <div> elements for interactive functionality."
88,"Unnecessary use of heading: The below mentioned text marked with heading tag, but it does not function as a title or subtitle.
- Performance-first. Player-priced. Blue Tees puts pro-level tech in
every player’s hands—minus the premium price tag.
- paragraph text pesent within 'BUILT BY GOLFERS WHO REFUSED TO SETTLE' section.
- The best gear shouldn’t be reserved for tour players
-  Golf is already hard. Your gear shouldn’t be. 
- We obsess over how it looks, feels, and performs. 
- It’s the point. And we’re here to bring it back. 
- TO EQUIP GOLFERS EVERYWHERE WITH THE TOOLS THEY NEED TO SHOW UP WITH CONFIDENCE, SWING WITH CLARITY & PLAY WITHOUT COMPROMISE.
- From tour veterans to weekend warriors, our ambassadors represent every level
of the game—and they’re all helping shape what comes next. 
- Premium gear. Real performance. Powered by a community
that’s rewriting the rules. Come play the game your way.",About Blue Tees Golf,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Content that doesn't function as a title or subtitle should not be tagged as a heading. 
Instead of using a heading tag, use <span> or <div> tags and use CSS to maintain the visual effect.

A properly structured heading hierarchy helps screen reader users navigate the page.

Resource:
Organizing a page using headings:
https://www.w3.org/WAI/WCAG21/Techniques/general/G141"
89,"Page is missing a main landmark: The page does not include a main landmark (<main> element or role=""main""), preventing assistive technology users from identifying the primary content area. Without a main landmark, screen reader users cannot use landmark navigation to quickly skip repetitive content (such as headers and navigation) and move directly to the main content.

Each page should contain a single, programmatically identifiable main landmark that represents the primary content of the page.",Sign in to your account,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Add a single <main> element (preferred) or apply role=""main"" to the container that wraps the primary page content.

Ensure that:

Only one main landmark is present on the page.
The main landmark contains the page's primary content and excludes repeated content such as headers, navigation menus, sidebars, and footers.
The landmark remains present and correctly identifies the main content across all page states."
90,"Validation error message is not announced to screen readers: When the phone number field is submitted without a value, the validation message ""Phone number is required"" is displayed visually; however, it is not announced by screen readers. As a result, screen reader users may not be aware that a validation error has occurred or understand why the form submission failed.

Error messages must be programmatically associated with the corresponding form field and automatically announced when they appear so users receive immediate feedback.",Sign in to your account,None,Not Started,"3.3.1 Error Identification (Level A)
4.1.3 Status Messages (Level AA)",Unassigned,01/01/1970,"Ensure that validation errors are exposed to assistive technologies by:

Associating the error message with the phone number input using aria-describedby.
Setting aria-invalid=""true"" on the input when validation fails.
Announcing dynamically displayed error messages using an appropriate live region (e.g., role=""alert"" or aria-live=""assertive"").
Ensuring focus remains on, or is moved to, the invalid field so users can easily identify and correct the error."
91,"Country list items are not keyboard accessible: When the country code picker is opened, the country list items are not operable using the keyboard. Keyboard users are unable to navigate through the available countries using the Up/Down Arrow keys, move focus to a desired option, or select a country using the Enter or Space key. As a result, the country selection can only be completed using a pointing device.

This creates a significant accessibility barrier for users who rely on a keyboard, including people with motor disabilities and screen reader users. An accessible combobox/listbox must support keyboard navigation and selection in accordance with the expected interaction pattern.",Sign in to your account,None,Not Started,"2.1.1 Keyboard (Level A)
4.1.2 Name, Role, Value (Level A)",Unassigned,01/01/1970,"Implement the country picker as an accessible combobox with a listbox popup following the WAI-ARIA Authoring Practices.

Ensure that:
Users can open the country list using Enter, Space, or Alt + Down Arrow.
Focus moves into the listbox (or remains on the combobox while using aria-activedescendant).
Users can navigate between country options using the Up and Down Arrow keys.
Home and End keys move to the first and last options where applicable.
Users can select the focused country using Enter or Space.
Escape closes the listbox and returns focus to the triggering control.
Every country option is keyboard focusable (directly or via aria-activedescendant) and exposes the correct role=""option"" with its selected state (aria-selected)."
92,"Search field does not have an accessible name: The Search Country Code input field does not have a programmatically associated accessible name. Although placeholder text is present, placeholders do not serve as reliable accessible names and are not a substitute for a visible or programmatically associated label. As a result, screen reader users may not be informed of the purpose of the input or may receive inconsistent announcements depending on the assistive technology and browser being used.

This makes it difficult for users of assistive technologies to understand the purpose of the field and search for a country code efficiently.",Sign in to your account,None,Not Started,"4.1.2 Name, Role, Value (Level A)",Unassigned,01/01/1970,"Provide a programmatically associated accessible name for the search field by:

Associating a visible <label> element with the input using the for and id attributes.
If a visible label cannot be provided, use aria-label=""Search country code"" or aria-labelledby to reference an existing descriptive label.
Do not rely solely on placeholder text to identify the purpose of the input, as placeholders disappear when users begin typing and are not consistently announced as accessible names."
93,"Country code selector dialog is not keyboard accessible and lacks screen reader support: The Country Code input functions as a control that opens a country selection dialog; however, it is not fully accessible to keyboard and screen reader users. The control is presented as a read-only text input and does not expose its interactive behavior or dialog relationship through appropriate semantics. When activated, the country selection dialog cannot be operated effectively using only the keyboard, preventing users from selecting a country code without a mouse.

Additionally, assistive technologies are not informed that activating the control opens a dialog. Focus management is not implemented correctly when the dialog opens, making it difficult or impossible for keyboard and screen reader users to perceive, navigate, and interact with the available country options.

This creates a significant barrier for users who rely on keyboard navigation or assistive technologies to complete the phone number field.",Sign in to your account,None,Not Started,"1.3.1 Info and Relationships (Level A)
2.1.1 Keyboard (Level A)
2.1.2 No Keyboard Trap (Level A)
2.4.3 Focus Order (Level A)
2.4.7 Focus Visible (Level AA)
4.1.2 Name, Role, Value (Level A)",Unassigned,01/01/1970,"Update the country code selector to follow the WAI-ARIA Authoring Practices for a dialog or combobox, as appropriate.

Use an interactive element (such as a <button> or properly implemented combobox) instead of a read-only text input.
Expose the control with appropriate semantics, such as aria-haspopup=""dialog"".
Ensure the control has a clear, user-friendly accessible name (e.g., ""Select country code"").
When the dialog opens:
Move keyboard focus into the dialog.
Ensure all interactive elements within the dialog are keyboard accessible.
Support keyboard navigation (Tab, Shift+Tab, Arrow keys where applicable, Enter/Space, and Escape).
Trap focus within the dialog while it is open.
Return focus to the triggering control when the dialog closes.
Ensure screen readers announce the dialog opening, its title, and the available options.
Provide appropriate roles and properties (e.g., role=""dialog"" with an accessible name) so assistive technologies can correctly identify and interact with the component."
94,"Insufficient color contrast for text: The contrast ratio between the foreground color of the placeholder text with its background color is below the required 4.5:1 ratio.

 Foreground colour: #5B5B5B
 Background colour: #000000
 Contrast ratio: 3.1:1",Sign in to your account,None,Not Started,1.4.3 Contrast (Minimum) (Level AA),Unassigned,01/01/1970,"Make sure that the contrast ratio between the element and its background is of at least 4.5:1.

For color compliant options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Resources:
Understanding contrast (minimum):
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html

Ensuring that a contrast ratio of at least 4.5:1 exists between text (and images of text):
https://www.w3.org/TR/WCAG20-TECHS/G18.html

Contrast (minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)"
95,"Country code field uses an unclear accessible name: The country code input uses aria-label=""country_code"", which is announced by screen readers as ""country underscore code"" or similar. This technical identifier is not meaningful to users and does not clearly communicate the purpose of the field.",Sign in to your account,None,Not Started,"2.5.3 Label in Name (Level A)
4.1.2 Name, Role, Value (Level A)",Unassigned,01/01/1970,"Replace the technical accessible name with a user-friendly label, such as ""Country code"", and ensure it matches the visible label."
96,"Phone number fields do not have visible labels: The country code field and phone number input rely on aria-label (""country_code"" and ""phone"") and a placeholder (""Phone"") instead of visible labels. As a result, sighted users, including those with cognitive disabilities, may have difficulty understanding the purpose of each field once the placeholder disappears after input.

Additionally, the country code field is labeled as ""country_code"", which is not user-friendly and may be announced literally by assistive technologies, reducing clarity.",Sign in to your account,None,Not Started,"3.3.2 Labels or Instructions (Level A)

2.5.3 Label in Name (Level A)

1.3.1 Info and Relationships (Level A)",Unassigned,01/01/1970,"Provide persistent, visible <label> elements for both the Country Code and Phone Number fields.
Associate each label with its corresponding input using the for and id attributes.
Do not rely on placeholders as the primary means of identifying form fields.
Replace the accessible name ""country_code"" with a meaningful label such as ""Country code""."
97,"Missing visual focus indicator: The ""Send Code"", and ""Create Account"" control lacks visual focus indicator.",Sign in to your account,None,Not Started,2.4.7 Focus Visible (Level AA),Unassigned,01/01/1970,"It is necessary to provide a clearly visible keyboard focus indicator for active elements (choose a color that will not merge with the background).
 
A keyboard focus indicator should be visible on all the interactive elements. Having a visual reference as to where the user is positioned on the page is important to make navigation easier for keyboard-only users and people with cognitive disabilities or attention disorders.

Provide a visible border/outline on each interactive element using CSS.

The focus outline should have a minimum contrast of 3:1 

Resources:
https://www.w3.org/TR/UNDERSTANDING-WCAG20/navigation-mechanisms-focus-visible.html
 
Using CSS to change the presentation of a user interface component when it receives focus:
https://www.w3.org/TR/2016/NOTE-WCAG20-TECHS-20161007/C15"
98,Missing heading mark-up: The 'Sign in to your account' text image constitute as heading but not marke as such.,Sign in to your account,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Use a heading tag <h1> for the mentioned text.

Example code:
<h1><img _ngcontent-ng-c2681746120="""" src=""./assets/images/SigninAccount.svg"" alt=""Sign in to your account""></h1>

Resources:
Organizing a page using headings:
https://www.w3.org/WAI/WCAG21/Techniques/general/G141"
99,"Insufficient color contrast for text: The contrast ratio between the foreground color of the current page gray text with its background color is below the required 4.5:1 ratio.

 Foreground colour: #B2B0B0
 Background colour: #FFFCFC
 Contrast ratio: 2.1:1","Latest Top Golf News, Product Updates, and Tips",None,Not Started,1.4.3 Contrast (Minimum) (Level AA),Unassigned,01/01/1970,"Make sure that the contrast ratio between the element and its background is of at least 4.5:1.

For color compliant options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Resources:
Understanding contrast (minimum):
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html

Ensuring that a contrast ratio of at least 4.5:1 exists between text (and images of text):
https://www.w3.org/TR/WCAG20-TECHS/G18.html

Contrast (minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)"
100,"Pagination navigation lacks semantic structure and descriptive accessible names: The pagination component is not fully accessible because it lacks the semantic markup and descriptive accessible names needed for assistive technology users.

The pagination is not contained within a semantic navigation landmark (e.g., <nav>), making it difficult for screen reader users to identify it as a pagination control.
The navigation landmark does not provide an accessible name (e.g., aria-label=""Pagination""), preventing users from distinguishing it from other navigation regions on the page.
Individual page links are announced only as numbers (e.g., ""2"", ""3""), which do not clearly convey their purpose when navigating by links.
The current page is not programmatically identified using aria-current=""page"", making it difficult for screen reader users to determine which page is currently active.

As a result, screen reader users may have difficulty understanding the purpose of the control, identifying the current page, and navigating efficiently between pages.","Latest Top Golf News, Product Updates, and Tips",None,Not Started,"1.3.1 Info and Relationships (Level A)

2.4.4 Link Purpose (In Context) (Level A)

4.1.2 Name, Role, Value (Level A)",Unassigned,01/01/1970,"Implement the pagination using semantic HTML and appropriate ARIA attributes. Specifically:

Wrap the pagination in a <nav> element with a descriptive accessible name, for example:

<nav aria-label=""Pagination"">
Mark the active page with aria-current=""page"".
Provide descriptive accessible names for page links, such as:
""Go to page 2""
""Go to page 3""
""Next page""
""Previous page""
Ensure the Next and Previous controls have descriptive accessible names that clearly communicate their function.
Use semantic list markup (<ul> and <li>) to represent the pagination items where appropriate, improving the structural relationship between controls."
101,"Redundant links create unnecessary keyboard focus stops: Each article card contains multiple focusable links (e.g., the featured image and the article title) that have the same accessible name and navigate to the same destination. As a result, keyboard users must tab through multiple links that perform the identical action before reaching the next interactive element.

While this implementation does not prevent users from accessing the content, it creates unnecessary keyboard focus stops and increases the effort required to navigate the page. Users of screen readers and keyboard-only navigation may perceive the repeated links as redundant, making browsing less efficient, particularly on pages containing numerous article cards.",PRODUCT MANUALS,None,Not Started,2.4.3 Focus Order (Level A),Unassigned,01/01/1970,"Reduce redundant focusable elements by ensuring each article card exposes only one primary interactive link where feasible. Consider one of the following approaches:

Make the entire article card a single clickable link.
Remove one of the duplicate links if it provides no additional functionality.
If separate visual links are retained for design purposes, ensure only one is keyboard-focusable while preserving the intended visual presentation.

This reduces unnecessary tab stops and improves the efficiency of keyboard navigation without affecting functionality."
102,Incorrect heading level: Incorrect heading level <h3> provided instead of <h4> for the 'Best for:' text.,PRODUCT MANUALS,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Make sure heading levels are structured in a hierarchical manner. This makes navigation much faster for screen reader and keyboard users.

In this case, replace <h6> tag with <h2> element.

Example code:
<h2 class=""dashboard-metric__name"">Overall Inspection Score</h2>
(...)
<h2 class=""dashboard-metric__name"">Paint Inspections</h2>

Resources
HeadingsMap extension:
https://chrome.google.com/webstore/detail/headingsmap/flbjommegcjonpdmenkdiocclhjacmbi

Headings and page structure:
https://www.w3.org/WAI/tutorials/page-structure/headings/"
103,"Multiple links with the same accessible name lead to different destinations: Multiple links on the page use the identical accessible name, ""DOWNLOAD MANUAL"", but point to different PDF documents depending on the associated product.

Screen reader users navigating by links hear multiple instances of ""DOWNLOAD MANUAL"" without any indication of which product each link belongs to. This makes it difficult to determine the correct link to activate without reading the surrounding context.",PRODUCT MANUALS,None,Not Started,2.4.4 Link Purpose (In Context) (Level A),Unassigned,01/01/1970,"Provide each link with a unique and descriptive accessible name that identifies the associated product. For example:

Download Captain Pro Manual (PDF)
Download Player+ Manual (PDF)
Download Series 3 Max Manual (PDF)

If the visible text must remain ""DOWNLOAD MANUAL"", use an accessible name (e.g., aria-label or visually hidden text) that includes the product name while preserving the visual design."
104,"Hidden empty links receive keyboard focus: Multiple empty anchor (<a>) elements are present across the page and receive keyboard focus despite containing no accessible name or visible content. 

When keyboard users navigate using the Tab key, focus lands on these empty links. Screen readers announce them as ""blank"" or ""link"" without any descriptive text, making it impossible for users to determine their purpose or destination. This creates unnecessary tab stops and degrades the keyboard navigation experience.",Terms And Conditions,None,Not Started,"2.4.4 Link Purpose (In Context) (Level A)
2.4.3 Focus Order (Level A)",Unassigned,01/01/1970,"Remove empty links that do not provide any functionality.
If the link is intended to be interactive, provide a meaningful accessible name using visible text or an appropriate aria-label.
Ensure decorative or hidden elements do not receive keyboard focus.
Verify that only functional, perceivable interactive elements are included in the page's tab order."
105,"Multiple blank lines are announced by screen readers due to excessive line break elements: The page uses multiple <br> elements to create visual spacing between content. When navigating with a screen reader, these line breaks are announced as ""blank"" multiple times, resulting in unnecessary verbosity and interrupting the reading flow.

This creates a poor user experience, as users must listen to repeated ""blank"" announcements before reaching the next meaningful content.",Terms And Conditions,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Avoid using multiple <br> elements solely for visual spacing.
Use CSS properties such as margin or padding to create spacing between elements.
Structure content using appropriate semantic elements (e.g., headings, paragraphs, lists) instead of repeated line breaks.
Ensure that only meaningful content is exposed to assistive technologies."
106,"Insufficient color contrast for non-text content: The contrast ratio between the foreground color of the active link underline with its background color is less than 3:1.

 Foreground colour: #D9D6D6
 Background colour: #FFFCFC
 Contrast ratio: 1.4:1",Terms And Conditions,None,Not Started,1.4.11 Non-text Contrast (Level AA 2.1 ),Unassigned,01/01/1970,"Ensure that the contrast ratio between the element and its background is of at least 3.0:1. 

Resources:
Non-text contrast:
https://www.w3.org/WAI/WCAG21/Understanding/non-text-contrast.html

Contrast (Minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)

Color contrast analyser:
https://www.tpgi.com/color-contrast-checker/"
107,"Color alone used to indicate link: The blue link text is visually indistinguishable from the surrounding text.

 Foreground colour: #3030F1
 Background colour: #595959
 Contrast ratio: 1.1:1",Terms And Conditions,None,Not Started,1.4.1 Use of Color (Level A),Unassigned,01/01/1970,"Ensure that links in their default state are visually distinguishable using additional cues such as underline, bold text, or increased contrast to differentiate them from surrounding text. 

Refer to WCAG 2.2 – 1.4.1 (Use of Color) for guidance:
https://www.w3.org/WAI/WCAG22/Understanding/use-of-color.html"
108,"Missing list mark-up: Missing list mark-up for the following links:
1. OUR SERVICES
2. INTELLECTUAL PROPERTY RIGHTS
3. USER REPRESENTATIONS
4. USER REGISTRATION 
 5. PRODUCTS 
 6. PURCHASES AND PAYMENT
7. RETURN/REFUNDS POLICY
8. PROHIBITED ACTIVITIES 
9. USER GENERATED CONTRIBUTIONS 
10. CONTRIBUTION LICENSE 
 11. GUIDELINES FOR REVIEWS 
 12. SOCIAL MEDIA 
 13. THIRD-PARTY WEBSITES AND CONTENT 
 14. ADVERTISERS 
15. SERVICES MANAGEMENT 
 16. PRIVACY POLICY
 17. DIGITAL MILLENNIUM COPYRIGHT ACT (DMCA) NOTICE AND POLICY
18. TERM AND TERMINATION 
19. MODIFICATIONS AND INTERRUPTIONS 
20. GOVERNING LAW 
21. DISPUTE RESOLUTION 
22. CORRECTIONS 
23. DISCLAIMER 
24. LIMITATIONS OF LIABILITY 
25. INDEMNIFICATION 
26. USER DATA 
27. ELECTRONIC COMMUNICATIONS, TRANSACTIONS, AND SIGNATURES 
 28. CALIFORNIA USERS AND RESIDENTS 
29. MISCELLANEOUS 
30. CONTACT US",Terms And Conditions,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"1. Wrap each list item inside a <li> tag. 
2. Wrap the full list inside a <ol> tag.
3. Provide the desired visual style using CSS.

Resources:
Page structure, Lists:
https://www.w3.org/WAI/tutorials/page-structure/content/#lists"
109,"Missing heading mark-up: The below mentioned text are constitute as heading but not marke as such.
- Our intellectual property
- Your use of our Services
- Your submissions and contributions
- Copyright infringement
- Notifications
- Counter Notification
- Informal Negotiations
- Binding Arbitration
- Restrictions
- Exceptions to Informal Negotiations and Arbitration",Terms And Conditions,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Use a heading tag <h3> for the mentioned text.

Resources:
Organizing a page using headings:
https://www.w3.org/WAI/WCAG21/Techniques/general/G141"
110,"Missing heading mark-up: The below mentioned text are constitute as heading but not marke as such.
- AGREEMENT TO OUR LEGAL TERMS
- TABLE OF CONTENTS
- 1. OUR SERVICES
- 2. INTELLECTUAL PROPERTY RIGHTS
- 3. USER REPRESENTATIONS
- (...)
- 30. CONTACT US",Terms And Conditions,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Use a heading tag <h2> for the mentioned text.

Resources:
Organizing a page using headings:
https://www.w3.org/WAI/WCAG21/Techniques/general/G141"
111,"Success message is not announced to screen reader users after form submission: After the user successfully submits the form, a success message (""Thank you for submitting your warranty application!"" and ""Check your email for a confirmation message."") is displayed visually. However, the message is not automatically announced by screen readers because it is not exposed as a live region or focus is not moved to the newly displayed content.

As a result, screen reader users may be unaware that the form submission was successful and may assume that the form is still processing or that the submission failed.",Register,None,Not Started,4.1.3 Status Messages (Level AA),Unassigned,01/01/1970,"Ensure the success message is programmatically announced when it appears by implementing one of the following approaches:

Add role=""status"" or aria-live=""polite"" to the container displaying the success message so it is announced automatically without interrupting the user.
Alternatively, move keyboard focus to the success message (or its heading) after successful submission, ensuring the message is focusable (e.g., tabindex=""-1"").
Ensure the success message is inserted into the live region dynamically so assistive technologies detect and announce the update."
112,Color alone used to indicate link: The 'Privacy Policy' and 'Terms' link text is visually indistinguishable from the surrounding text.,Register,None,Not Started,1.4.1 Use of Color (Level A),Unassigned,01/01/1970,"Ensure that links in their default state are visually distinguishable using additional cues such as underline, bold text, or increased contrast to differentiate them from surrounding text. 

Refer to WCAG 2.2 – 1.4.1 (Use of Color) for guidance:
https://www.w3.org/WAI/WCAG22/Understanding/use-of-color.html"
113,"Missing Asterisk Indication for Required Fields: The form fields do not include an asterisk (*) or any other visual indicator to show that they are required. Additionally, there is no programmatic indication (such as aria-required=""true"") to inform screen reader users about the required nature of these fields.",Register,None,Not Started,3.3.2 (Labels or Instructions) (Level A),Unassigned,01/01/1970,Clearly indicate required fields with an asterisk and provide a note explaining that fields marked with * are required.
